city,geography_code,geography_name,industry_name,number_of_jobs,median_income_dollars
Brisbane,30101,Capalaba,retail_trade,6153,19858
Brisbane,30101,Capalaba,total,60221,36695
Brisbane,30101,Capalaba,transport,2661,63460
Brisbane,30101,Capalaba,wholesale_trade,2815,55796
Brisbane,30102,Cleveland - Stradbroke,accommodation_food_services,5881,5806
Brisbane,30102,Cleveland - Stradbroke,administrative_support_services,5703,17946
Brisbane,30102,Cleveland - Stradbroke,agriculture,377,17584
Brisbane,30102,Cleveland - Stradbroke,arts_recreation_services,1092,10598
Brisbane,30102,Cleveland - Stradbroke,construction,6882,49538
Brisbane,30102,Cleveland - Stradbroke,education_training,5521,42623
Brisbane,30102,Cleveland - Stradbroke,electricity,734,82211
Brisbane,30102,Cleveland - Stradbroke,finance_insurance_services,3034,31315
Brisbane,30102,Cleveland - Stradbroke,health_care_social_assistance,9799,36416
Brisbane,30102,Cleveland - Stradbroke,information_media_telecommunications,776,36526
Brisbane,30102,Cleveland - Stradbroke,manufacturing,4554,56894
Brisbane,30102,Cleveland - Stradbroke,mining,713,102303
Brisbane,30102,Cleveland - Stradbroke,other_services,2957,26612
Brisbane,30102,Cleveland - Stradbroke,professional,4856,51001
Brisbane,30102,Cleveland - Stradbroke,public_administration_safety,3377,73328
Brisbane,30102,Cleveland - Stradbroke,rental,1823,34574
Brisbane,30102,Cleveland - Stradbroke,retail_trade,7285,18458
Brisbane,30102,Cleveland - Stradbroke,total,72409,33441
Brisbane,30102,Cleveland - Stradbroke,transport,2956,54676
Brisbane,30102,Cleveland - Stradbroke,wholesale_trade,3102,59246
Brisbane,30103,Wynnum - Manly,accommodation_food_services,4766,6653
Brisbane,30103,Wynnum - Manly,administrative_support_services,5612,18366
Brisbane,30103,Wynnum - Manly,agriculture,404,8830
Brisbane,30103,Wynnum - Manly,arts_recreation_services,1256,12408
Brisbane,30103,Wynnum - Manly,construction,4834,58612
Brisbane,30103,Wynnum - Manly,education_training,5314,41041
Brisbane,30103,Wynnum - Manly,electricity,594,101783
Brisbane,30103,Wynnum - Manly,finance_insurance_services,2879,52306
Brisbane,30103,Wynnum - Manly,health_care_social_assistance,7471,46525
Brisbane,30103,Wynnum - Manly,information_media_telecommunications,877,46003
Brisbane,30103,Wynnum - Manly,manufacturing,3939,57940
Brisbane,30103,Wynnum - Manly,mining,611,139072
Brisbane,30103,Wynnum - Manly,other_services,2369,29776
Brisbane,30103,Wynnum - Manly,professional,5468,67625
Brisbane,30103,Wynnum - Manly,public_administration_safety,2978,79071
Brisbane,30103,Wynnum - Manly,rental,1392,37069
Brisbane,30103,Wynnum - Manly,retail_trade,5367,16512
Brisbane,30103,Wynnum - Manly,total,62722,39349
Brisbane,30103,Wynnum - Manly,transport,2897,63186
Brisbane,30103,Wynnum - Manly,wholesale_trade,3005,56289
Brisbane,30201,Bald Hills - Everton Park,accommodation_food_services,3140,6848
Brisbane,30201,Bald Hills - Everton Park,administrative_support_services,3305,19813
Brisbane,30201,Bald Hills - Everton Park,agriculture,101,15910
Brisbane,30201,Bald Hills - Everton Park,arts_recreation_services,744,12337
Brisbane,30201,Bald Hills - Everton Park,construction,2307,55668
Brisbane,30201,Bald Hills - Everton Park,education_training,3504,38777
Brisbane,30201,Bald Hills - Everton Park,electricity,382,121885
Brisbane,30201,Bald Hills - Everton Park,finance_insurance_services,1859,48538
Brisbane,30201,Bald Hills - Everton Park,health_care_social_assistance,6536,47856
Brisbane,30201,Bald Hills - Everton Park,information_media_telecommunications,581,57772
Brisbane,30201,Bald Hills - Everton Park,manufacturing,1661,57120
Brisbane,30201,Bald Hills - Everton Park,mining,390,137233
Brisbane,30201,Bald Hills - Everton Park,other_services,1353,27483
Brisbane,30201,Bald Hills - Everton Park,professional,3915,65230
Brisbane,30201,Bald Hills - Everton Park,public_administration_safety,2805,80778
Brisbane,30201,Bald Hills - Everton Park,rental,731,39873
Brisbane,30201,Bald Hills - Everton Park,retail_trade,3862,16227
Brisbane,30201,Bald Hills - Everton Park,total,40293,39852
Brisbane,30201,Bald Hills - Everton Park,transport,1314,64992
Brisbane,30201,Bald Hills - Everton Park,wholesale_trade,1378,53932
Brisbane,30202,Chermside,accommodation_food_services,5955,7256
Brisbane,30202,Chermside,administrative_support_services,6264,15646
Brisbane,30202,Chermside,agriculture,236,14532
Brisbane,30202,Chermside,arts_recreation_services,1383,10269
Brisbane,30202,Chermside,construction,4000,56000
Brisbane,30202,Chermside,education_training,5731,37330
Brisbane,30202,Chermside,electricity,556,109594
Brisbane,30202,Chermside,finance_insurance_services,2950,49912
Brisbane,30202,Chermside,health_care_social_assistance,10280,49805
Brisbane,30202,Chermside,information_media_telecommunications,962,44691
Brisbane,30202,Chermside,manufacturing,2626,53841
Brisbane,30202,Chermside,mining,662,139590
Brisbane,30202,Chermside,other_services,2222,25666
Brisbane,30202,Chermside,professional,6109,64340
Brisbane,30202,Chermside,public_administration_safety,3860,81302
Brisbane,30202,Chermside,rental,1211,45075
